Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total
"419 - News syndicates, libraries, archives and all other information services",0.0,29089527.17,146972146.2,176061673.37
"208 - Iron, steel pipe and tube manufacturing from purchased steel",0.0,107821152.23,63589594.74,171410746.97
206 - Miscellaneous nonmetallic mineral products manufacturing,0.0,155169575.04,9578442.03,164748017.07
159 - Nitrogenous fertilizer manufacturing,0.0,43140903.97,118723753.17,161864657.14
299 - Other electronic component manufacturing,0.0,72108040.67,83513902.53,155621943.2
"22 - Copper, nickel, lead, and zinc mining",0.0,56425578.03,99186035.54,155611613.57
"213 - Aluminum sheet, plate, and foil manufacturing",0.0,54002879.92,100831022.86,154833902.79
334 - Motor vehicle metal stamping,0.0,66235355.14,86173083.66,152408438.8
"264 - Air conditioning, refrigeration, and warm air heating equipment manufacturing",0.0,51227865.29,100672051.8,151899917.09
75 - Canned specialties,0.0,2124558.58,146292753.38,148417311.96
150 - All other petroleum and coal products manufacturing,0.0,95950393.82,50816145.06,146766538.89
168 - Adhesive manufacturing,0.0,49133192.68,96665376.84,145798569.52
333 - Motor vehicle seating and interior trim manufacturing,0.0,69715261.19,73965710.66,143680971.85
188 - Other rubber product manufacturing,0.0,72457929.8,69970919.24,142428849.05
"249 - Small arms, ordnance, and accessories manufacturing",0.0,22959325.39,119233824.37,142193149.76
365 - Sporting and athletic goods manufacturing,0.0,587921.69,140954173.03,141542094.72
359 - Surgical and medical instrument manufacturing,0.0,4774716.26,135477838.75,140252555.02
179 - Unlaminated plastics profile shape manufacturing,0.0,56820871.44,79694032.31,136514903.75
125 - Wood preservation,0.0,88532832.81,45577016.25,134109849.06
230 - Metal window and door manufacturing,0.0,66428879.21,66774837.35,133203716.56
339 - Other aircraft parts and auxiliary equipment manufacturing,0.0,122431682.68,6836582.7,129268265.38
194 - Glass product manufacturing made of purchased glass,0.0,37849017.42,91110792.1,128959809.52
"222 - Metal crown, closure, and other metal stamping (except automotive)",0.0,56774927.74,71442393.63,128217321.38
"408 - Directory, mailing list, and other publishers",0.0,32998716.74,93525796.79,126524513.52
81 - Ice cream and frozen dessert manufacturing,0.0,3686181.33,122147695.47,125833876.79
349 - Upholstered household furniture manufacturing,0.0,153267.74,125621318.94,125774586.69
"214 - Other aluminum rolling, drawing and extruding",0.0,46136404.4,79624362.07,125760766.47
321 - Wiring device manufacturing,0.0,75217345.1,48621684.73,123839029.83
26 - Stone mining and quarrying,0.0,70740777.35,52499060.48,123239837.83
68 - Sugar cane mills and refining,0.0,1225784.61,119874606.41,121100391.02
80 - Creamery butter manufacturing,0.0,2154364.49,117178645.31,119333009.79
195 - Cement manufacturing,0.0,80951677.29,38134002.39,119085679.68
199 - Other concrete product manufacturing,0.0,59950551.07,58800904.21,118751455.28
148 - Asphalt shingle and coating materials manufacturing,0.0,60555506.11,57781890.1,118337396.21
223 - Iron and steel forging,0.0,85186594.34,32505855.91,117692450.25
237 - Hardware manufacturing,0.0,67031154.84,48122668.13,115153822.97
328 - Motor home manufacturing,0.0,86062.1,110779957.25,110866019.34
357 - Mattress manufacturing,0.0,384524.26,110163041.6,110547565.86
287 - Electronic computer manufacturing,0.0,11047658.47,95913300.21,106960958.69
"181 - Laminated plastics plate, sheet (except packaging), and shape manufacturing",0.0,49486441.65,55380424.06,104866865.71
193 - Glass container manufacturing,0.0,13421803.96,90185073.71,103606877.68
364 - Jewelry and silverware manufacturing,0.0,1278840.85,100154778.55,101433619.41
147 - Asphalt paving mixture and block manufacturing,0.0,54957410.52,45902555.74,100859966.26
232 - Ornamental and architectural metal work manufacturing,0.0,47807336.55,52363614.82,100170951.37
141 - Stationery product manufacturing,0.0,59581320.51,39060753.57,98642074.09
347 - All other transportation equipment manufacturing,0.0,9638162.49,87469538.15,97107700.64
165 - In-vitro diagnostic substance manufacturing,0.0,145816.93,96958433.94,97104250.87
"366 - Doll, toy, and game manufacturing",0.0,2352348.82,93288760.58,95641109.4
226 - Handtool manufacturing,0.0,32982523.65,62489786.83,95472310.48
362 - Ophthalmic goods manufacturing,0.0,358232.35,94905639.58,95263871.93
201 - Gypsum product manufacturing,0.0,49944690.05,44549302.76,94493992.82
"131 - Other millwork, including flooring",0.0,47477885.82,46429080.1,93906965.92
91 - Tortilla manufacturing,0.0,561794.1,91884947.91,92446742.0
70 - Chocolate and confectionery manufacturing from cacao beans,0.0,564055.08,91541388.35,92105443.43
247 - Small arms ammunition manufacturing,0.0,19101310.0,71591566.66,90692876.66
293 - Audio and video equipment manufacturing,0.0,1415741.55,87922090.13,89337831.68
135 - All other miscellaneous wood product manufacturing,0.0,34383949.9,54732881.96,89116831.86
127 - Engineered wood member and truss manufacturing,0.0,42667776.38,45792874.67,88460651.06
315 - Motor and generator manufacturing,0.0,67395617.45,20847890.02,88243507.47
76 - Dehydrated food products manufacturing,0.0,1197381.85,86596532.74,87793914.59
143 - All other converted paper product manufacturing,0.0,10052783.98,76503285.57,86556069.55
116 - Other textile product mills,0.0,39246043.06,46602123.97,85848167.02
16 - Commercial logging,0.0,50558511.55,34946847.29,85505358.85
"274 - Measuring, dispensing, and other pumping equipment manufacturing",0.0,56874335.52,28499032.84,85373368.36
363 - Dental laboratories,0.0,218.9,85323513.0,85323731.9
24 - Gold ore and silver ore mining,0.0,36914734.81,48070657.03,84985391.84
82 - Frozen cakes and other pastries manufacturing,0.0,1176030.36,83685878.04,84861908.4
212 - Secondary smelting and alloying of aluminum,0.0,36782804.14,45249894.04,82032698.18
292 - Other communications equipment manufacturing,0.0,54066533.59,26825692.59,80892226.18
171 - Surface active agent manufacturing,0.0,27640755.36,51764529.99,79405285.36
311 - Lighting fixture manufacturing,0.0,32951569.56,46215702.94,79167272.5
309 - Manufacturing and reproducing magnetic and optical media,0.0,30479110.72,48065048.54,78544159.26
86 - Rendering and meat byproduct processing,0.0,3035851.36,73307151.61,76343002.97
210 - Steel wire drawing,0.0,49072723.96,27049719.64,76122443.6
40 - Electric power generation - Biomass,0.0,40136000.06,35560494.58,75696494.64
488 - Bowling centers,0.0,8938.7,75463183.31,75472122.01
261 - Commercial and service industry machinery manufacturing,0.0,50315366.15,24020146.72,74335512.87
153 - Synthetic dye and pigment manufacturing,0.0,29903349.96,43518323.08,73421673.04
114 - Textile bag and canvas mills,0.0,21725068.72,51358678.13,73083746.85
298 - Electronic connector manufacturing,0.0,36173492.74,35375027.63,71548520.37
108 - Nonwoven fabric mills,0.0,16609662.95,54781348.85,71391011.79
128 - Reconstituted wood product manufacturing,0.0,33944845.18,36046293.81,69991138.99
5 - Tree nut farming,0.0,505219.89,68606524.51,69111744.4
9 - Sugarcane and sugar beet farming,0.0,744355.92,67977698.24,68722054.17
350 - Nonupholstered wood household furniture manufacturing,0.0,436884.49,68163345.18,68600229.66
126 - Veneer and plywood manufacturing,0.0,35142517.26,33382650.17,68525167.43
312 - Small electrical appliance manufacturing,0.0,1860507.91,65592528.38,67453036.29
67 - Beet sugar manufacturing,0.0,683912.91,66636305.6,67320218.51
160 - Phosphatic fertilizer manufacturing,0.0,18344718.56,47966941.36,66311659.91
320 - Other communication and energy wire manufacturing,0.0,41681851.31,24382507.43,66064358.74
"225 - Cutlery, utensil, pot, and pan manufacturing",0.0,18182473.8,47218455.9,65400929.69
368 - Sign manufacturing,0.0,28784300.44,36119035.78,64903336.23
"105 - Fiber, yarn, and thread mills",0.0,15490699.29,46989460.15,62480159.44
"236 - Metal barrels, drums and pails manufacturing",0.0,15804152.24,43584189.23,59388341.48
"130 - Cut stock, resawing lumber, and planing",0.0,36147985.98,23170642.04,59318628.02
"345 - Motorcycle, bicycle, and parts manufacturing",0.0,5611469.46,53256878.86,58868348.32
187 - Rubber and plastics hoses and belting manufacturing,0.0,31591036.37,27248895.46,58839931.83
245 - Plumbing fixture fitting and trim manufacturing,0.0,26620421.7,31983385.63,58603807.33
295 - Bare printed circuit board manufacturing,0.0,24417015.58,33739679.98,58156695.56
17 - Commercial fishing,0.0,2735572.66,54894764.86,57630337.52
173 - Printing ink manufacturing,0.0,24911434.29,32504946.55,57416380.85
157 - Synthetic rubber manufacturing,0.0,24784884.83,32316021.58,57100906.41
106 - Broadwoven fabric mills,0.0,7362249.8,49466242.04,56828491.84
246 - Ball and roller bearing manufacturing,0.0,36820881.49,19838654.0,56659535.49
31 - Support activities for oil and gas operations,0.0,46158065.9,9775339.55,55933405.46
289 - Computer terminals and other computer peripheral equipment manufacturing,0.0,23242673.34,32571887.19,55814560.53
"369 - Gasket, packing, and sealing device manufacturing",0.0,22037779.54,33290730.66,55328510.2
322 - Carbon and graphite product manufacturing,0.0,30107031.62,24901815.23,55008846.85
176 - Photographic film and chemical manufacturing,0.0,27298553.95,27520597.18,54819151.13
112 - Carpet and rug mills,0.0,1116553.27,53211189.54,54327742.81
319 - Fiber optic cable manufacturing,0.0,26180986.95,27787617.98,53968604.93
110 - Textile and fabric finishing mills,0.0,9528155.54,43972700.84,53500856.38
367 - Office supplies (except paper) manufacturing,0.0,12940895.03,40106671.87,53047566.9
"308 - Watch, clock, and other measuring and controlling device manufacturing",0.0,4127911.21,47892027.2,52019938.41
27 - Sand and gravel mining,0.0,26074899.57,24658413.21,50733312.79
61 - Rice milling,0.0,370452.75,49509156.03,49879608.77
512 - State government electric utilities,0.0,26446764.26,23407723.16,49854487.42
25 - Other metal ore mining,0.0,25913773.58,23355050.64,49268824.22
285 - Fluid power pump and motor manufacturing,0.0,35726239.75,13437600.3,49163840.04
211 - Alumina refining and primary aluminum production,0.0,21843446.2,27260095.63,49103541.84
317 - Relay and industrial control manufacturing,0.0,25399782.3,21296046.54,46695828.83
224 - Nonferrous forging,0.0,33108427.26,13075468.48,46183895.73
338 - Aircraft engine and engine parts manufacturing,0.0,39366055.1,6257743.6,45623798.7
145 - Support activities for printing,0.0,19496531.39,25936576.26,45433107.65
161 - Fertilizer mixing,0.0,12425523.18,32957989.29,45383512.47
205 - Mineral wool manufacturing,0.0,28719617.57,15934661.42,44654278.99
166 - Biological product (except diagnostic) manufacturing,0.0,302339.35,42526414.53,42828753.88
"217 - Nonferrous metal, except copper and aluminum, shaping",0.0,25464854.11,17042959.06,42507813.17
337 - Aircraft manufacturing,0.0,33172506.37,9216935.65,42389442.02
303 - Industrial process variable instruments manufacturing,0.0,28064865.2,14182238.45,42247103.66
197 - Concrete block and brick manufacturing,0.0,19756470.95,22401182.27,42157653.23
"271 - Speed changer, industrial high-speed drive, and gear manufacturing",0.0,29434610.2,12603250.73,42037860.92
480 - Racing and Track Operation,0.0,164961.43,40766041.69,40931003.11
122 - Footwear manufacturing,0.0,233000.75,40517114.12,40750114.87
192 - Other pressed and blown glass and glassware manufacturing,0.0,10023663.02,30606933.55,40630596.57
203 - Cut stone and stone product manufacturing,0.0,2246053.1,36747733.2,38993786.3
204 - Ground or treated mineral and earth manufacturing,0.0,20198916.51,18785169.53,38984086.04
"279 - Industrial truck, trailer, and stacker manufacturing",0.0,31004893.93,7612922.84,38617816.76
250 - Fabricated pipe and pipe fitting manufacturing,0.0,25252658.18,13038534.19,38291192.37
113 - Curtain and linen mills,0.0,788983.36,37448361.48,38237344.83
200 - Lime manufacturing,0.0,18873854.08,18488365.0,37362219.08
118 - Cut and sew apparel contractors,0.0,1113632.64,36242440.41,37356073.05
263 - Heating equipment (except warm air furnaces) manufacturing,0.0,7071452.61,29616816.13,36688268.74
221 - Custom roll forming,0.0,25012675.12,11532662.66,36545337.78
272 - Mechanical power transmission equipment manufacturing,0.0,25324427.48,10237183.18,35561610.66
218 - Secondary processing of other nonferrous metals,0.0,18095798.44,16987059.98,35082858.42
120 - Apparel accessories and other apparel manufacturing,0.0,950550.3,32971210.24,33921760.54
351 - Other household nonupholstered furniture manufacturing,0.0,98827.81,33788840.72,33887668.53
"115 - Rope, cordage, twine, tire cord and tire fabric mills",0.0,16298747.04,16998912.16,33297659.2
227 - Prefabricated metal buildings and components manufacturing,0.0,13879584.63,19091685.55,32971270.19
29 - Other nonmetallic mineral mining and quarrying,0.0,13895135.34,18549306.78,32444442.12
291 - Broadcast and wireless communications equipment manufacturing,0.0,11811144.01,20262384.62,32073528.64
134 - Prefabricated wood building manufacturing,0.0,15537556.25,16531796.76,32069353.01
300 - Electromedical and electrotherapeutic apparatus manufacturing,0.0,71974.28,31338492.73,31410467.01
343 - Ship building and repairing,0.0,7281491.75,23103660.43,30385152.18
198 - Concrete pipe manufacturing,0.0,16116539.09,13884006.47,30000545.56
215 - Nonferrous metal (exc aluminum) smelting and refining,0.0,14211905.3,15559701.94,29771607.25
"190 - Brick, tile, and other structural clay product manufacturing",0.0,13395477.22,16024987.67,29420464.89
"356 - Showcase, partition, shelving, and locker manufacturing",0.0,7900791.71,20787494.82,28688286.54
326 - Motor vehicle body manufacturing,0.0,17132634.86,11235601.19,28368236.05
284 - Fluid power cylinder and actuator manufacturing,0.0,18537678.54,9471140.54,28008819.08
434 - Video tape and disc rental,0.0,33415.7,27795931.39,27829347.1
"57 - Maintenance and repair construction of highways, streets, bridges, and tunnels",0.0,13257413.04,14290573.79,27547986.82
23 - Iron ore mining,0.0,16806082.03,10548866.37,27354948.4
202 - Abrasive product manufacturing,0.0,16421565.14,9776471.76,26198036.89
256 - Oil and gas field machinery and equipment manufacturing,0.0,20089894.58,5727037.21,25816931.79
191 - Flat glass manufacturing,0.0,8949203.48,16708280.01,25657483.49
39 - Electric power generation - Geothermal,0.0,13458085.38,11923863.15,25381948.53
"297 - Capacitor, resistor, coil, transformer, and other inductor manufacturing",0.0,9211907.62,16067137.22,25279044.84
316 - Switchgear and switchboard apparatus manufacturing,0.0,15121038.84,9972173.82,25093212.66
"372 - Broom, brush, and mop manufacturing",0.0,3609754.96,20996220.03,24605974.99
123 - Other leather and allied product manufacturing,0.0,970186.19,23616661.45,24586847.65
111 - Fabric coating mills,0.0,5869617.23,17389994.75,23259611.98
290 - Telephone apparatus manufacturing,0.0,9374135.29,12834495.59,22208630.88
511 - State government passenger transit,0.0,3578890.84,18515931.3,22094822.14
267 - Cutting tool and machine tool accessory manufacturing,0.0,15622015.89,5739432.9,21361448.79
310 - Electric lamp bulb and part manufacturing,0.0,4749795.2,16483190.78,21232985.98
62 - Malt manufacturing,0.0,343812.77,20662135.77,21005948.54
100 - Manufactured ice,0.0,182251.68,20741542.64,20923794.32
"189 - Pottery, ceramics, and plumbing fixture manufacturing",0.0,2659757.95,18182173.12,20841931.06
288 - Computer storage device manufacturing,0.0,556027.72,18459131.6,19015159.33
304 - Totalizing fluid meter and counting device manufacturing,0.0,10387515.85,8615158.22,19002674.07
18 - Commercial hunting and trapping,0.0,20994.96,18889646.58,18910641.54
358 - Blind and shade manufacturing,0.0,138853.07,18685050.29,18823903.37
"266 - Special tool, die, jig, and fixture manufacturing",0.0,13890617.05,4792630.18,18683247.23
252 - Farm machinery and equipment manufacturing,0.0,7375122.18,10885953.85,18261076.03
8 - Cotton farming,0.0,2942304.69,14745349.82,17687654.5
302 - Automatic environmental control manufacturing,0.0,8876777.42,8523142.8,17399920.22
136 - Pulp mills,0.0,5894717.39,11443199.25,17337916.64
262 - Industrial and commercial fan and blower and air purification equipment manufacturing,0.0,9668867.88,6795612.49,16464480.37
174 - Explosives manufacturing,0.0,7923811.25,8279404.27,16203215.52
280 - Power-driven handtool manufacturing,0.0,6227602.51,9941400.52,16169003.04
"15 - Forestry, forest products, and timber tract production",0.0,6003771.32,9228203.58,15231974.9
117 - Apparel knitting mills,0.0,335200.33,14699435.18,15034635.51
342 - Railroad rolling stock manufacturing,0.0,13504092.65,1373630.56,14877723.21
41 - Electric power generation - All other,0.0,7396301.98,6553123.28,13949425.26
260 - All other industrial machinery manufacturing,0.0,7383521.74,6447817.52,13831339.26
32 - Metal mining services,0.0,10932139.7,2864081.79,13796221.49
253 - Lawn and garden equipment manufacturing,0.0,7067556.23,6706488.84,13774045.07
323 - All other miscellaneous electrical equipment and component manufacturing,0.0,8150949.85,5595998.29,13746948.14
370 - Musical instrument manufacturing,0.0,931366.14,12394942.06,13326308.2
234 - Metal tank (heavy gauge) manufacturing,0.0,7733130.07,5497410.62,13230540.69
270 - Turbine and turbine generator set units manufacturing,0.0,9588430.87,2628086.69,12216517.56
254 - Construction machinery manufacturing,0.0,7776959.48,4426930.53,12203890.01
269 - Rolling mill and other metalworking machinery manufacturing,0.0,2571248.39,9479526.91,12050775.29
"28 - Other clay, ceramic, refractory minerals mining",0.0,5457037.13,6110728.64,11567765.77
121 - Leather and hide tanning and finishing,0.0,924611.21,10152470.88,11077082.08
"371 - Fasteners, buttons, needles, and pins manufacturing",0.0,409960.49,10597803.2,11007763.69
306 - Analytical laboratory instrument manufacturing,0.0,3171694.85,7795146.04,10966840.89
"346 - Military armored vehicle, tank, and tank component manufacturing",0.0,2957953.84,7889573.39,10847527.23
"286 - Scales, balances, and miscellaneous general purpose machinery manufacturing",0.0,7500448.82,3047659.43,10548108.25
282 - Packaging machinery manufacturing,0.0,1370605.39,9041188.75,10411794.14
281 - Welding and soldering equipment manufacturing,0.0,6805317.13,3512897.75,10318214.88
265 - Industrial mold manufacturing,0.0,7210167.4,2695987.62,9906155.02
"301 - Search, detection, and navigation instruments manufacturing",0.0,1934104.43,7164592.35,9098696.78
109 - Knit fabric mills,0.0,1128577.56,7962462.05,9091039.61
361 - Dental equipment and supplies manufacturing,0.0,77065.85,8986114.58,9063180.43
409 - Greeting card publishing,0.0,47066.29,8509745.75,8556812.04
277 - Conveyor and conveying equipment manufacturing,0.0,5710989.89,2829173.58,8540163.47
268 - Machine tool manufacturing,0.0,4852468.39,3431620.51,8284088.9
"248 - Ammunition, except for small arms, manufacturing",0.0,1499746.82,6220580.71,7720327.53
107 - Narrow fabric mills and schiffli machine embroidery,0.0,917917.22,6335091.0,7253008.22
373 - Burial casket manufacturing,0.0,380.37,7244021.3,7244401.67
233 - Power boiler and heat exchanger manufacturing,0.0,3680313.9,3525767.59,7206081.49
257 - Semiconductor machinery manufacturing,0.0,1936760.31,3189674.18,5126434.48
305 - Electricity and signal testing instruments manufacturing,0.0,2264938.42,2796392.42,5061330.84
255 - Mining machinery and equipment manufacturing,0.0,3162363.75,929868.57,4092232.32
258 - Food product machinery manufacturing,0.0,1130118.71,2522128.94,3652247.65
325 - Heavy duty truck manufacturing,0.0,1651233.7,1944164.03,3595397.73
283 - Industrial process furnace and oven manufacturing,0.0,2484198.61,637015.44,3121214.06
"278 - Overhead cranes, hoists, and monorail systems manufacturing",0.0,1808817.34,847779.33,2656596.68
7 - Tobacco farming,0.0,10341.88,2422012.1,2432353.98
275 - Air and gas compressor manufacturing,0.0,1243046.06,1134727.71,2377773.77
"314 - Power, distribution, and specialty transformer manufacturing",0.0,746029.63,1578028.9,2324058.53
327 - Truck trailer manufacturing,0.0,1418265.3,474753.9,1893019.2
"259 - Sawmill, woodworking, and paper machinery",0.0,689002.45,1141152.16,1830154.61
276 - Elevator and moving stairway manufacturing,0.0,1046422.07,721022.31,1767444.38
354 - Custom architectural woodwork and millwork,0.0,554430.95,1182965.37,1737396.32
307 - Irradiation apparatus manufacturing,0.0,8112.23,1583082.37,1591194.59
352 - Institutional furniture manufacturing,0.0,409943.78,1144969.65,1554913.43
341 - Propulsion units and parts for space vehicles and guided missiles manufacturing,0.0,751223.02,535967.15,1287190.17
"355 - Office furniture, except wood, manufacturing",0.0,245499.05,817493.45,1062992.51
133 - Manufactured home (mobile home) manufacturing,0.0,396722.92,479123.01,875845.93
340 - Guided missile and space vehicle manufacturing,0.0,149874.3,370094.42,519968.72
353 - Wood office furniture manufacturing,0.0,77290.83,328999.08,406289.91
30 - Drilling oil and gas wells,0.0,139635.06,30409.42,170044.48
33 - Other nonmetallic minerals services,0.0,79553.48,58887.96,138441.44
45 - Construction of new health care structures,0.0,0.0,0.0,0.0
46 - Construction of new manufacturing structures,0.0,0.0,0.0,0.0
47 - Construction of new power and communication structures,0.0,0.0,0.0,0.0
48 - Construction of new educational and vocational structures,0.0,0.0,0.0,0.0
49 - Construction of new highways and streets,0.0,0.0,0.0,0.0
"50 - Construction of new commercial structures, including farm structures",0.0,0.0,0.0,0.0
51 - Construction of other new nonresidential structures,0.0,0.0,0.0,0.0
52 - Construction of new single-family residential structures,0.0,0.0,0.0,0.0
53 - Construction of new multifamily residential structures,0.0,0.0,0.0,0.0
54 - Construction of other new residential structures,0.0,0.0,0.0,0.0
517 - * Not an industry (Used and secondhand goods),0.0,0.0,0.0,0.0
518 - * Not an industry (Scrap),0.0,0.0,0.0,0.0
519 - * Not an industry (Rest of world adjustment),0.0,0.0,0.0,0.0
520 - * Not an industry (Noncomparable foreign imports),0.0,0.0,0.0,0.0
"521 - * Employment and payroll of state govt, education",0.0,0.0,0.0,0.0
"522 - * Employment and payroll of state govt, hospitals and health services",0.0,0.0,0.0,0.0
"523 - * Employment and payroll of state govt, other services",0.0,0.0,0.0,0.0
"524 - * Employment and payroll of local govt, education",0.0,0.0,0.0,0.0
"525 - * Employment and payroll of local govt, hospitals and health services",0.0,0.0,0.0,0.0
"526 - * Employment and payroll of local govt, other services",0.0,0.0,0.0,0.0
"527 - * Employment and payroll of federal govt, military",0.0,0.0,0.0,0.0
"528 - * Employment and payroll of federal govt, non-military",0.0,0.0,0.0,0.0
