Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment
399 - Truck transportation,2429609.85,109815.17,20942.07,2560367.09,2360525.55,112016.53,20697.07,2493239.14,-67127.94999999972,-2.6218095937172716
472 - Hospitals,0.0,0.0,87951.66,87951.66,0.0,0.0,86925.63,86925.63,-1026.0299999999988,-1.1665840076241867
492 - Limited-service restaurants,0.0,4217.72,85495.86,89713.58,0.0,4302.27,84488.63,88790.9,-922.6800000000076,-1.0284730583708817
491 - Full-service restaurants,0.0,10984.04,86225.07,97209.11,0.0,11204.23,85232.11,96436.34,-772.7700000000041,-0.7949563574854293
465 - Offices of physicians,0.0,0.0,61645.49,61645.49,0.0,0.0,60925.78,60925.78,-719.7099999999991,-1.1674982224977029
475 - Individual and family services,0.0,0.0,61012.41,61012.41,0.0,0.0,60323.15,60323.15,-689.260000000002,-1.1297045961633083
503 - Religious organizations,0.0,0.0,46722.35,46722.35,0.0,0.0,46193.05,46193.05,-529.2999999999956,-1.1328625379502437
389 - Retail - Food and beverage stores,0.0,3063.75,47771.64,50835.38,0.0,3125.16,47211.39,50336.55,-498.82999999999447,-0.9812654100352834
394 - Retail - General merchandise stores,0.0,8453.42,48128.75,56582.17,0.0,8622.88,47564.35,56187.23,-394.93999999999505,-0.6979937319477055
424 - Other financial investment activities,0.0,3849.56,42974.38,46823.94,0.0,3926.73,42503.0,46429.72,-394.22000000000116,-0.8419197530152335
473 - Nursing and community care facilities,0.0,0.0,32231.04,32231.04,0.0,0.0,31838.39,31838.39,-392.65000000000146,-1.2182355890470846
499 - Personal care services,0.0,0.0,33270.91,33270.91,0.0,0.0,32884.22,32884.22,-386.6900000000023,-1.1622465390937677
470 - Home health care services,0.0,0.0,30681.11,30681.11,0.0,0.0,30322.78,30322.78,-358.33000000000175,-1.1679173276325456
395 - Retail - Miscellaneous store retailers,0.0,649.4,29225.46,29874.86,0.0,662.42,28882.79,29545.22,-329.6399999999994,-1.1034026602969835
390 - Retail - Health and personal care stores,0.0,118.8,23426.34,23545.15,0.0,121.18,23151.6,23272.78,-272.3700000000026,-1.1567987462386207
392 - Retail - Clothing and clothing accessories stores,0.0,103.2,22437.36,22540.56,0.0,105.27,22174.21,22279.48,-261.08000000000175,-1.1582675851886632
430 - Tenant-occupied housing,0.0,0.0,21505.54,21505.54,0.0,0.0,21247.05,21247.05,-258.4900000000016,-1.201969353013231
468 - Outpatient care centers,0.0,0.0,21497.11,21497.11,0.0,0.0,21247.55,21247.55,-249.5600000000013,-1.160900232635928
"463 - Junior colleges, colleges, universities, and professional schools",0.0,281.59,22774.09,23055.68,0.0,287.23,22522.54,22809.77,-245.90999999999985,-1.066591833335646
467 - Offices of other health practitioners,0.0,0.0,20926.3,20926.3,0.0,0.0,20685.03,20685.03,-241.27000000000044,-1.1529510711401463
502 - Other personal services,0.0,583.19,21218.44,21801.63,0.0,594.88,20971.79,21566.67,-234.96000000000276,-1.0777175835017967
476 - Child day care services,0.0,0.0,20287.05,20287.05,0.0,0.0,20056.07,20056.07,-230.97999999999956,-1.1385588343302726
466 - Offices of dentists,0.0,0.0,18917.59,18917.59,0.0,0.0,18694.73,18694.74,-222.84999999999854,-1.1780041749503956
462 - Elementary and secondary schools,0.0,0.0,19533.85,19533.85,0.0,0.0,19316.44,19316.44,-217.40999999999985,-1.1129910386329367
464 - Other educational services,0.0,378.03,19149.16,19527.19,0.0,385.6,18933.52,19319.12,-208.0699999999997,-1.065539895909241
"489 - Hotels and motels, including casino hotels",0.0,4088.67,25479.24,29567.91,0.0,4170.63,25192.86,29363.5,-204.40999999999985,-0.6913238034071392
"428 - Funds, trusts, and other financial vehicles",0.0,413.16,17149.65,17562.81,0.0,421.44,16950.41,17371.85,-190.96000000000276,-1.087297533822906
400 - Transit and ground passenger transportation,0.0,4200.08,22363.42,26563.5,0.0,4284.27,22103.22,26387.5,-176.0,-0.6625632917348994
493 - All other food and drinking places,0.0,17435.79,44773.25,62209.05,0.0,17785.31,44257.01,62042.32,-166.7300000000032,-0.26801566653083947
"474 - Residential mental health, substance abuse, and other residential care facilities",0.0,0.0,12384.72,12384.72,0.0,0.0,12234.49,12234.49,-150.22999999999956,-1.2130270203928677
"393 - Retail - Sporting goods, hobby, musical instrument and book stores",0.0,347.13,13258.65,13605.77,0.0,354.08,13103.19,13457.27,-148.5,-1.0914487015435363
486 - Other amusement and recreation industries,0.0,325.15,12896.89,13222.04,0.0,331.67,12752.28,13083.94,-138.10000000000036,-1.044468175863939
385 - Retail - Motor vehicle and parts dealers,0.0,9944.16,28707.96,38652.12,0.0,10143.5,28371.36,38514.86,-137.26000000000204,-0.3551163558428413
"477 - Community food, housing, and other relief services, including rehabilitation services",0.0,0.0,11994.35,11994.35,0.0,0.0,11858.81,11858.81,-135.54000000000087,-1.1300320567600652
381 - Wholesale - Grocery and related product wholesalers,0.0,516.47,11706.38,12222.85,0.0,526.82,11568.63,12095.45,-127.39999999999964,-1.0423100995267032
422 - Securities and commodity contracts intermediation and brokerage,0.0,12230.72,33059.97,45290.69,0.0,12475.9,32692.12,45168.02,-122.67000000000553,-0.27085036681932984
507 - Private households,0.0,0.0,10314.55,10314.55,0.0,0.0,10200.08,10200.08,-114.46999999999935,-1.1097915081123206
487 - Fitness and recreational sports centers,0.0,202.21,10394.09,10596.3,0.0,206.26,10277.56,10483.82,-112.47999999999956,-1.0615025999641343
506 - Labor and civic organizations,0.0,0.14,9271.63,9271.77,0.0,0.14,9164.56,9164.7,-107.06999999999971,-1.154795686260549
386 - Retail - Furniture and home furnishings stores,0.0,223.45,8993.98,9217.43,0.0,227.93,8888.52,9116.46,-100.97000000000116,-1.0954246465663549
479 - Commercial Sports Except Racing,0.0,2183.43,12328.88,14512.3,0.0,2227.2,12186.99,14414.18,-98.11999999999898,-0.6761161221860008
383 - Wholesale - Other nondurable goods merchant wholesalers,0.0,2578.02,12728.43,15306.45,0.0,2629.7,12578.72,15208.42,-98.03000000000065,-0.6404489610589043
387 - Retail - Electronics and appliance stores,0.0,173.45,8458.82,8632.27,0.0,176.93,8359.64,8536.56,-95.71000000000095,-1.108746598519288
388 - Retail - Building material and garden equipment and supplies stores,0.0,2758.46,12747.55,15506.01,0.0,2813.76,12598.43,15412.19,-93.81999999999971,-0.6050557171058171
56 - Maintenance and repair construction of residential structures,0.0,732.81,9319.04,10051.85,0.0,747.5,9211.56,9959.06,-92.79000000000087,-0.9231136556952289
"11 - Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0,111.08,7680.42,7791.5,0.0,113.31,7589.26,7702.57,-88.93000000000029,-1.141372007957393
"504 - Grantmaking, giving, and social advocacy organizations",0.0,3.18,7846.05,7849.23,0.0,3.24,7757.2,7760.44,-88.78999999999996,-1.1311937604070712
449 - Veterinary services,0.0,6.66,7381.96,7388.62,0.0,6.8,7294.59,7301.39,-87.22999999999956,-1.1805993541419042
410 - Software publishers,0.0,1400.89,9579.86,10980.76,0.0,1428.98,9468.19,10897.17,-83.59000000000015,-0.7612405698694821
485 - Gambling industries (except casino hotels),0.0,7.67,6873.21,6880.88,0.0,7.83,6789.71,6797.54,-83.34000000000015,-1.211182290637246
471 - Other ambulatory health care services,0.0,9.52,6850.59,6860.11,0.0,9.72,6771.14,6780.86,-79.25,-1.1552292893262646
469 - Medical and diagnostic laboratories,0.0,0.55,6251.61,6252.16,0.0,0.56,6179.81,6180.36,-71.80000000000018,-1.1484031118845355
500 - Death care services,0.0,0.0,5724.02,5724.02,0.0,0.0,5654.79,5654.79,-69.23000000000047,-1.20946467692287
501 - Dry-cleaning and laundry services,0.0,3027.64,11031.18,14058.83,0.0,3088.33,10901.85,13990.19,-68.63999999999942,-0.48823408491317855
482 - Promoters of performing arts and sports and agents for public figures,0.0,1494.29,8180.61,9674.9,0.0,1524.25,8087.11,9611.36,-63.539999999999054,-0.656750974170266
"88 - Bread and bakery product, except frozen, manufacturing",0.0,77.87,5475.12,5552.98,0.0,79.43,5410.34,5489.76,-63.219999999999345,-1.1384878029454337
376 - Wholesale - Professional and commercial equipment and supplies,0.0,1779.61,8354.74,10134.36,0.0,1815.29,8256.81,10072.09,-62.27000000000044,-0.6144443260353928
19 - Support activities for agriculture and forestry,0.0,478.99,6030.58,6509.57,0.0,488.59,5959.37,6447.97,-61.599999999999454,-0.9462990643007059
437 - Legal services,0.0,8039.1,18915.99,26955.08,0.0,8200.25,18697.27,26897.52,-57.56000000000131,-0.21354045322811618
478 - Performing arts companies,0.0,528.63,5793.64,6322.27,0.0,539.23,5727.89,6267.12,-55.150000000000546,-0.8723132672283933
425 - Direct life insurance carriers,0.0,51.83,4708.35,4760.18,0.0,52.87,4655.03,4707.89,-52.289999999999964,-1.0984878723073488
495 - Car washes,0.0,310.96,4763.35,5074.31,0.0,317.2,4707.5,5024.7,-49.61000000000058,-0.9776698703863299
446 - Scientific research and development services,0.0,2199.63,8065.84,10265.47,0.0,2243.72,7973.61,10217.34,-48.1299999999992,-0.4688533501145023
"14 - Animal production, except cattle and poultry and eggs",0.0,96.72,4021.43,4118.15,0.0,98.66,3973.93,4072.59,-45.55999999999949,-1.1063220135254785
83 - Poultry processing,0.0,55.33,3345.54,3400.87,0.0,56.44,3305.96,3362.4,-38.4699999999998,-1.1311811389438526
484 - Amusement parks and arcades,0.0,49.35,3103.96,3153.31,0.0,50.34,3067.1,3117.44,-35.86999999999989,-1.1375348443381683
411 - Motion picture and video industries,0.0,841.7,4477.17,5318.87,0.0,858.58,4425.01,5283.58,-35.289999999999964,-0.6634867932474372
"483 - Museums, historical sites, zoos, and parks",0.0,0.18,2719.14,2719.32,0.0,0.18,2687.77,2687.95,-31.370000000000346,-1.1535972228351332
380 - Wholesale - Drugs and druggistsâ€™ sundries,0.0,464.47,3355.09,3819.57,0.0,473.78,3315.57,3789.36,-30.210000000000036,-0.7909267273541273
164 - Pharmaceutical preparation manufacturing,0.0,3.95,2503.25,2507.19,0.0,4.03,2473.34,2477.36,-29.829999999999927,-1.1897781979028286
10 - All other crop farming,0.0,673.24,3620.62,4293.86,0.0,686.74,3577.9,4264.64,-29.219999999999345,-0.6805065838196716
4 - Fruit farming,0.0,50.9,2348.91,2399.81,0.0,51.92,2321.29,2373.21,-26.59999999999991,-1.1084210833357604
"6 - Greenhouse, nursery, and floriculture production",0.0,251.78,2619.34,2871.11,0.0,256.83,2588.74,2845.57,-25.539999999999964,-0.8895514278449784
415 - Wired telecommunications carriers,0.0,2099.66,5615.02,7714.68,0.0,2141.75,5548.3,7690.05,-24.63000000000011,-0.3192614599698252
12 - Dairy cattle and milk production,0.0,42.14,1994.36,2036.5,0.0,42.98,1970.8,2013.78,-22.720000000000027,-1.1156395777068513
85 - Meat processed from carcasses,0.0,3.97,1908.53,1912.5,0.0,4.05,1885.75,1889.8,-22.700000000000045,-1.1869281045751658
514 - Local government passenger transit,0.0,562.74,2911.44,3474.18,0.0,574.02,2877.56,3451.59,-22.58999999999969,-0.6502253769234666
3 - Vegetable and melon farming,0.0,8.31,1915.46,1923.77,0.0,8.47,1892.77,1901.25,-22.519999999999982,-1.1706181092334313
"84 - Animal, except poultry, slaughtering",0.0,30.63,1765.18,1795.82,0.0,31.25,1744.26,1775.51,-20.309999999999945,-1.130959673018451
"418 - Data processing, hosting, and related services",0.0,5746.8,11614.1,17360.9,0.0,5862.0,11478.76,17340.76,-20.140000000003056,-0.11600781065499516
2 - Grain farming,0.0,205.32,2023.93,2229.25,0.0,209.44,2000.0,2209.44,-19.809999999999945,-0.8886396770214173
490 - Other accommodations,0.0,47.81,1804.6,1852.41,0.0,48.76,1784.44,1833.21,-19.200000000000045,-1.0364876026365677
98 - All other food manufacturing,0.0,10.11,1542.36,1552.48,0.0,10.32,1524.13,1534.45,-18.029999999999973,-1.1613676182623913
101 - Breweries,0.0,36.19,1578.12,1614.31,0.0,36.91,1559.37,1596.29,-18.019999999999982,-1.1162663924525018
99 - Bottled and canned soft drinks and water,0.0,14.6,1526.68,1541.28,0.0,14.9,1508.49,1523.38,-17.899999999999864,-1.1613723658257982
456 - Travel arrangement and reservation services,0.0,1502.83,3882.43,5385.26,0.0,1532.95,3836.8,5369.75,-15.510000000000218,-0.2880083784255582
505 - Business and professional associations,0.0,1155.51,3211.59,4367.1,0.0,1178.67,3174.58,4353.25,-13.850000000000364,-0.31714410020380485
13 - Poultry and egg production,0.0,16.83,1183.26,1200.09,0.0,17.17,1169.25,1186.42,-13.669999999999845,-1.1390812355739859
488 - Bowling centers,0.0,0.13,1132.09,1132.22,0.0,0.14,1119.41,1119.55,-12.670000000000073,-1.1190404691667761
102 - Wineries,0.0,81.77,1171.58,1253.34,0.0,83.4,1158.2,1241.6,-11.740000000000009,-0.9366971452279518
73 - Frozen specialties manufacturing,0.0,5.44,956.33,961.77,0.0,5.55,945.03,950.57,-11.199999999999932,-1.1645195836842417
119 - Cut and sew apparel manufacturing (except contractors),0.0,31.13,994.71,1025.84,0.0,31.75,983.12,1014.88,-10.959999999999923,-1.0683927318100215
480 - Racing and Track Operation,0.0,3.37,832.84,836.21,0.0,3.44,823.29,826.73,-9.480000000000018,-1.1336865141531454
77 - Cheese manufacturing,0.0,23.04,840.73,863.76,0.0,23.5,830.8,854.3,-9.460000000000036,-1.0952116328609842
93 - Other snack food manufacturing,0.0,12.24,810.26,822.51,0.0,12.49,800.7,813.19,-9.319999999999936,-1.133116922590599
79 - Fluid milk manufacturing,0.0,10.45,738.18,748.63,0.0,10.66,729.44,740.1,-8.529999999999973,-1.1394146641197886
74 - Canned fruits and vegetables manufacturing,0.0,10.4,680.92,691.33,0.0,10.61,672.88,683.49,-7.840000000000032,-1.1340459693634055
172 - Toilet preparation manufacturing,0.0,5.1,656.51,661.6,0.0,5.2,648.74,653.94,-7.659999999999968,-1.1577992744860894
"419 - News syndicates, libraries, archives and all other information services",0.0,193.26,976.43,1169.69,0.0,197.13,965.01,1162.14,-7.5499999999999545,-0.6454701673092832
17 - Commercial fishing,0.0,33.94,681.09,715.03,0.0,34.62,673.11,707.74,-7.289999999999964,-1.019537641777263
363 - Dental laboratories,0.0,0.0,595.45,595.45,0.0,0.0,588.44,588.44,-7.009999999999991,-1.1772608951213352
448 - Photographic services,0.0,122.07,810.26,932.33,0.0,124.52,800.89,925.41,-6.920000000000073,-0.7422264648783234
58 - Dog and cat food manufacturing,0.0,0.14,584.31,584.45,0.0,0.14,577.45,577.59,-6.860000000000014,-1.1737531012062645
1 - Oilseed farming,0.0,72.4,693.5,765.9,0.0,73.85,685.32,759.16,-6.740000000000009,-0.8800104452278378
349 - Upholstered household furniture manufacturing,0.0,0.69,567.77,568.46,0.0,0.71,561.34,562.05,-6.410000000000082,-1.127607923160835
405 - Newspaper publishers,0.0,315.7,1086.24,1401.95,0.0,322.03,1073.56,1395.59,-6.360000000000127,-0.45365383929527636
398 - Water transportation,0.0,137.02,811.67,948.69,0.0,139.77,802.58,942.35,-6.340000000000032,-0.6682899577311906
89 - Cookie and cracker manufacturing,0.0,2.87,532.27,535.14,0.0,2.93,525.95,528.88,-6.259999999999991,-1.1697873453675658
374 - All other miscellaneous manufacturing,0.0,59.95,599.16,659.11,0.0,61.15,592.13,653.29,-5.82000000000005,-0.8830089059489387
360 - Surgical appliance and supplies manufacturing,0.0,7.9,480.5,488.4,0.0,8.06,474.88,482.94,-5.4599999999999795,-1.1179361179361138
407 - Book publishers,0.0,106.81,648.41,755.22,0.0,108.95,640.89,749.84,-5.3799999999999955,-0.7123752019279144
344 - Boat building,0.0,4.57,525.96,530.53,0.0,4.66,520.54,525.21,-5.319999999999936,-1.002770814091557
59 - Other animal food manufacturing,0.0,11.58,469.09,480.67,0.0,11.81,463.55,475.36,-5.310000000000002,-1.1047080117336223
71 - Confectionery manufacturing from purchased chocolate,0.0,2.62,443.38,446.0,0.0,2.68,438.09,440.77,-5.230000000000018,-1.172645739910318
5 - Tree nut farming,0.0,3.19,433.86,437.05,0.0,3.26,428.74,431.99,-5.060000000000002,-1.1577622697631855
324 - Automobile and light duty motor vehicle manufacturing,0.0,50.72,519.28,570.0,0.0,51.74,513.32,565.05,-4.9500000000000455,-0.8684210526315869
"481 - Independent artists, writers, and performers",0.0,1940.77,3771.41,5712.18,0.0,1979.67,3727.64,5707.32,-4.860000000000582,-0.08508135247839847
"72 - Frozen fruits, juices and vegetables manufacturing",0.0,4.46,412.54,417.0,0.0,4.55,407.66,412.21,-4.7900000000000205,-1.1486810551558801
118 - Cut and sew apparel contractors,0.0,12.59,409.64,422.22,0.0,12.84,404.87,417.71,-4.510000000000048,-1.068163516650099
69 - Nonchocolate confectionery manufacturing,0.0,2.61,382.71,385.31,0.0,2.66,378.15,380.81,-4.5,-1.1678907892346424
365 - Sporting and athletic goods manufacturing,0.0,1.65,395.09,396.74,0.0,1.68,390.57,392.25,-4.490000000000009,-1.1317235469072966
97 - Spice and extract manufacturing,0.0,6.85,390.01,396.85,0.0,6.98,385.41,392.39,-4.460000000000036,-1.1238503212800897
163 - Medicinal and botanical manufacturing,0.0,30.81,418.9,449.71,0.0,31.43,413.94,445.37,-4.339999999999975,-0.9650663761090426
329 - Travel trailer and camper manufacturing,0.0,24.37,441.96,466.33,0.0,24.86,437.14,462.0,-4.329999999999984,-0.9285270087706098
87 - Seafood product preparation and packaging,0.0,13.83,392.47,406.3,0.0,14.11,387.88,401.99,-4.310000000000002,-1.0607925178439581
103 - Distilleries,0.0,16.82,387.04,403.86,0.0,17.16,382.49,399.65,-4.210000000000036,-1.0424404496607824
359 - Surgical and medical instrument manufacturing,0.0,12.87,365.08,377.95,0.0,13.12,360.82,373.95,-4.0,-1.0583410504034927
348 - Wood kitchen cabinet and countertop manufacturing,0.0,213.39,713.97,927.36,0.0,217.67,705.72,923.39,-3.9700000000000273,-0.42809696342305337
184 - Plastics bottle manufacturing,0.0,48.31,416.61,464.91,0.0,49.27,411.68,460.95,-3.9600000000000364,-0.8517777634380925
377 - Wholesale - Household appliances and electrical and electronic goods,0.0,1239.58,2429.09,3668.67,0.0,1264.43,2400.58,3665.0,-3.6700000000000728,-0.10003625291999751
364 - Jewelry and silverware manufacturing,0.0,4.21,330.08,334.29,0.0,4.3,326.43,330.73,-3.5600000000000023,-1.064943611834037
82 - Frozen cakes and other pastries manufacturing,0.0,4.32,307.06,311.38,0.0,4.4,303.43,307.83,-3.5500000000000114,-1.1400860684693979
350 - Nonupholstered wood household furniture manufacturing,0.0,2.0,312.68,314.68,0.0,2.04,309.14,311.19,-3.490000000000009,-1.1090631752891855
"90 - Dry pasta, mixes, and dough manufacturing",0.0,1.36,295.51,296.87,0.0,1.39,292.0,293.38,-3.490000000000009,-1.1755987469262672
91 - Tortilla manufacturing,0.0,1.79,292.7,294.48,0.0,1.83,289.22,291.05,-3.430000000000007,-1.164765009508288
362 - Ophthalmic goods manufacturing,0.0,1.12,296.08,297.2,0.0,1.14,292.63,293.77,-3.430000000000007,-1.154104979811577
81 - Ice cream and frozen dessert manufacturing,0.0,8.48,281.1,289.58,0.0,8.65,277.8,286.45,-3.1299999999999955,-1.0808757510877807
423 - Monetary authorities and depository credit intermediation,0.0,12808.01,22037.4,34845.41,0.0,13064.76,21777.58,34842.34,-3.070000000006985,-0.00881034259607502
"96 - Mayonnaise, dressing, and sauce manufacturing",0.0,5.38,269.04,274.42,0.0,5.48,265.87,271.36,-3.0600000000000023,-1.1150790758691065
406 - Periodical publishers,0.0,315.96,805.54,1121.5,0.0,322.29,796.15,1118.44,-3.0599999999999454,-0.2728488631297321
416 - Wireless telecommunications carriers (except satellite),0.0,515.83,1126.43,1642.26,0.0,526.17,1113.07,1639.24,-3.019999999999982,-0.18389292803819018
94 - Coffee and tea manufacturing,0.0,31.21,307.66,338.87,0.0,31.84,304.04,335.88,-2.990000000000009,-0.8823442618113168
92 - Roasted nuts and peanut butter manufacturing,0.0,4.78,259.11,263.9,0.0,4.88,256.05,260.93,-2.9699999999999704,-1.12542629784008
"44 - Water, sewage and other systems",0.0,254.84,685.2,940.04,0.0,259.95,677.12,937.07,-2.9699999999999136,-0.3159440023828681
"78 - Dry, condensed, and evaporated dairy product manufacturing",0.0,4.48,247.28,251.76,0.0,4.57,244.36,248.93,-2.829999999999984,-1.1240864315220782
357 - Mattress manufacturing,0.0,0.86,246.61,247.47,0.0,0.88,243.79,244.67,-2.8000000000000114,-1.131450276801233
142 - Sanitary paper product manufacturing,0.0,48.24,310.5,358.74,0.0,49.2,306.85,356.05,-2.6899999999999977,-0.7498466856218983
120 - Apparel accessories and other apparel manufacturing,0.0,6.9,239.36,246.26,0.0,7.04,236.58,243.61,-2.6499999999999773,-1.0760984325509533
318 - Battery manufacturing,0.0,116.31,407.25,523.56,0.0,118.64,402.44,521.08,-2.4799999999999045,-0.4736801894720576
60 - Flour milling,0.0,2.01,209.42,211.43,0.0,2.05,206.94,208.99,-2.4399999999999977,-1.1540462564442122
511 - State government passenger transit,0.0,59.69,308.8,368.49,0.0,60.88,305.21,366.09,-2.400000000000034,-0.6513066840348541
328 - Motor home manufacturing,0.0,0.17,213.58,213.75,0.0,0.17,211.25,211.42,-2.3300000000000125,-1.0900584795321695
66 - Breakfast cereal manufacturing,0.0,0.2,188.5,188.7,0.0,0.2,186.25,186.45,-2.25,-1.192368839427663
137 - Paper mills,0.0,172.83,483.76,656.59,0.0,176.29,478.05,654.35,-2.240000000000009,-0.34115658173289404
18 - Commercial hunting and trapping,0.0,0.21,190.27,190.48,0.0,0.22,188.02,188.24,-2.2399999999999807,-1.1759764804703805
313 - Major household appliance manufacturing,0.0,43.77,264.15,307.92,0.0,44.65,261.07,305.71,-2.2100000000000364,-0.7177188880228749
169 - Soap and other detergent manufacturing,0.0,63.07,290.15,353.22,0.0,64.33,286.69,351.02,-2.2000000000000455,-0.6228412887152611
122 - Footwear manufacturing,0.0,1.05,183.4,184.46,0.0,1.08,181.24,182.32,-2.140000000000015,-1.1601431204597283
183 - Urethane and other foam product (except polystyrene) manufacturing,0.0,98.07,350.29,448.36,0.0,100.03,346.21,446.24,-2.1200000000000045,-0.47283432955660726
113 - Curtain and linen mills,0.0,3.82,181.24,185.06,0.0,3.89,179.15,183.04,-2.0200000000000102,-1.0915378796066195
235 - Metal cans manufacturing,0.0,28.98,215.99,244.97,0.0,29.56,213.43,242.98,-1.990000000000009,-0.8123443686982116
"366 - Doll, toy, and game manufacturing",0.0,4.33,171.65,175.98,0.0,4.42,169.65,174.07,-1.9099999999999966,-1.0853506080236373
170 - Polish and other sanitation good manufacturing,0.0,59.76,259.54,319.3,0.0,60.96,256.45,317.4,-1.900000000000034,-0.595051675540255
165 - In-vitro diagnostic substance manufacturing,0.0,0.24,161.18,161.43,0.0,0.25,159.3,159.55,-1.8799999999999955,-1.1645914637923531
76 - Dehydrated food products manufacturing,0.0,2.21,159.84,162.05,0.0,2.25,157.96,160.21,-1.8400000000000034,-1.1354520209811807
203 - Cut stone and stone product manufacturing,0.0,10.03,164.11,174.14,0.0,10.23,162.13,172.36,-1.7799999999999727,-1.0221660732743614
75 - Canned specialties,0.0,2.2,151.74,153.94,0.0,2.25,149.94,152.19,-1.75,-1.1368065480057166
9 - Sugarcane and sugar beet farming,0.0,1.61,147.11,148.72,0.0,1.64,145.36,147.0,-1.7199999999999989,-1.1565357719203866
104 - Tobacco manufacturing,0.0,0.01,133.45,133.46,0.0,0.01,131.81,131.82,-1.6400000000000148,-1.2288326090214405
412 - Sound recording industries,0.0,78.18,275.18,353.36,0.0,79.74,271.98,351.72,-1.6399999999999864,-0.4641159157799372
70 - Chocolate and confectionery manufacturing from cacao beans,0.0,0.86,138.89,139.75,0.0,0.87,137.24,138.11,-1.6399999999999864,-1.1735241502683265
95 - Flavoring syrup and concentrate manufacturing,0.0,5.65,142.98,148.63,0.0,5.76,141.3,147.06,-1.5699999999999932,-1.0563143376168964
